X,Y,Z
-0,2570623;-0,8777545;0,08638916
-0,2570623;-0,8777545;0,08638916
-0,2570623;-0,8777545;0,08638916
-0,2652563;-0,8777545;0,0871994
-0,2652563;-0,8777545;0,0871994
-0,2652563;-0,8777545;0,0871994
-0,2652563;-0,8777545;0,0871994
-0,2652563;-0,8777545;0,0871994
-0,2652563;-0,8777545;0,0871994
-0,2734501;-0,8777545;0,08801117
-0,2734501;-0,8777545;0,08801117
-0,2734501;-0,8777545;0,08801117
-0,2734501;-0,8777545;0,08801117
-0,2734501;-0,8777545;0,08801117
-0,2816433;-0,8777545;0,08882751
-0,2816433;-0,8777545;0,08882751
-0,2816433;-0,8777545;0,08882751
-0,2898363;-0,8777545;0,08964844
-0,2898363;-0,8777545;0,08964844
-0,2898363;-0,8777545;0,08964844
-0,2898363;-0,8777545;0,08964844
-0,2980289;-0,8777545;0,09047089
-0,2980289;-0,8777545;0,09047089
-0,2980289;-0,8777545;0,09047089
-0,3062212;-0,8777545;0,09129792
-0,3062212;-0,8777545;0,09129792
-0,3062212;-0,8777545;0,09129792
-0,3062212;-0,8777545;0,09129792
-0,3144131;-0,8777545;0,09212647
-0,3144131;-0,8777545;0,09212647
-0,3144131;-0,8777545;0,09212647
-0,3226047;-0,8777545;0,0929596
-0,3226047;-0,8777545;0,0929596
-0,3226047;-0,8777545;0,0929596
-0,3307961;-0,8777545;0,0937973
-0,3307961;-0,8777545;0,0937973
-0,3307961;-0,8777545;0,0937973
-0,338987;-0,8777545;0,09463654
-0,338987;-0,8777545;0,09463654
-0,338987;-0,8777545;0,09463654
-0,3471775;-0,8777545;0,09548035
-0,3471775;-0,8777545;0,09548035
